Timestamp (ns);Aggregated CPU Load (%);GPU Busy (%);
3825669834876.000000;36.170470;20.007935;
3825729862780.000000;31.938936;18.600709;
3825792864636.000000;26.255555;18.695222;
3825855911548.000000;17.438623;21.288399;
3825919883900.000000;24.795435;21.148722;
3825982783356.000000;47.310259;19.212015;
3826046811516.000000;50.052678;18.800835;
3826110811004.000000;33.896563;20.874672;
3826173965948.000000;28.025367;21.388228;
3826236372348.000000;26.422085;19.806124;
3826299394172.000000;29.029813;20.277539;
3826361850748.000000;18.637162;20.823401;
3826424624764.000000;16.215810;20.825669;
3826486819196.000000;26.685221;20.326369;
3826549786748.000000;28.486064;20.269987;
3826613226364.000000;20.170743;20.382227;
3826675547004.000000;15.573949;19.991303;
3826738242172.000000;14.476693;19.986942;
3826801729916.000000;9.095682;18.912852;
3826865696124.000000;20.199512;21.988091;
3826926726524.000000;39.067539;24.449287;
3826989698172.000000;45.133049;21.456422;
3827052698236.000000;58.319100;21.245894;
3827115698300.000000;81.470359;25.824680;
3827178695036.000000;83.620252;30.123943;
3827238698364.000000;52.963225;26.100425;
3827301695356.000000;29.283734;22.508375;
3827364697468.000000;29.173961;22.240412;
3827425725820.000000;30.503103;20.289381;
3827488696700.000000;35.800070;18.946051;
3827551694972.000000;36.094591;19.035695;
3827615697532.000000;29.844033;20.281944;
3827678726268.000000;38.734956;22.047868;
3827741697660.000000;49.946174;23.384937;
3827805697660.000000;48.520031;20.461321;
3827865725820.000000;32.955894;21.213469;
3827928899964.000000;24.843831;23.106534;
3828005218428.000000;30.265326;20.901620;
3828037209724.000000;48.254201;20.366911;
3828115212924.000000;73.832703;20.830882;
3828178210940.000000;66.509506;21.042966;
3828240216956.000000;50.992491;19.352721;
3828304212860.000000;40.050020;20.999024;
3828366208380.000000;40.865369;23.048605;
3828428211580.000000;37.425705;21.713226;
3828491400828.000000;17.695988;18.437019;
3828554606972.000000;26.627566;19.633045;
3828616605052.000000;37.190739;21.776244;
3828678108284.000000;24.744784;18.719889;
3828740427644.000000;27.121552;18.818745;
3828801428860.000000;39.042881;20.011951;
3828862429052.000000;34.123855;19.485482;
3828924761212.000000;25.928521;18.546563;
3828987762300.000000;42.172676;18.692816;
3829048761724.000000;70.508657;19.299729;
3829111763324.000000;65.100384;18.482683;
3829174762364.000000;60.936800;19.540738;
3829237761404.000000;64.493512;20.438507;
3829301762172.000000;51.069189;21.800302;
3829364761212.000000;40.848838;22.708510;
3829427763580.000000;45.870844;19.167487;
3829458789500.000000;43.477708;22.414913;
3829535761788.000000;55.727575;24.726475;
3829598762108.000000;53.624253;20.485159;
3829661414524.000000;19.759767;20.550194;
3829723606396.000000;25.512216;21.771684;
3829787177596.000000;31.357563;20.857612;
3829848981628.000000;34.914267;19.106074;
3829912980348.000000;42.637705;19.225778;
3829975979388.000000;51.917644;19.770628;
3830069008508.000000;40.406768;19.159317;
3830101024380.000000;14.790443;16.812635;
3830163435132.000000;9.605527;16.738036;
3830224554364.000000;10.844943;19.061257;
3830286843772.000000;17.975057;18.814095;
3830381882748.000000;22.566260;17.902957;
3830413544316.000000;24.948310;19.969437;
3830475249020.000000;36.264267;20.821032;
3830536848508.000000;41.369309;19.141780;
3830613847420.000000;48.057167;19.730177;
3830676847484.000000;43.863697;19.889068;
3830738876540.000000;28.894081;19.430115;
3830800849788.000000;27.924685;18.554111;
3830861751420.000000;28.614516;20.497525;
3830923147644.000000;28.827445;21.692111;
3830985180540.000000;19.553673;19.225894;
3831047608188.000000;23.590060;17.873176;
3831109034620.000000;38.779558;23.115794;
3831172785788.000000;34.021902;24.859492;
3831235231868.000000;33.669311;19.417546;
3831298075516.000000;42.027093;19.936566;
3831360053884.000000;47.340771;26.558520;
3831422055036.000000;54.189736;28.091568;
3831486055292.000000;60.939031;24.070717;
3831548055676.000000;73.635219;24.593056;
3831610054780.000000;78.071556;26.686235;
3831673057404.000000;75.259533;25.478346;
3831736064636.000000;64.842226;22.430478;
3831800053372.000000;44.278863;24.390677;
3831861893500.000000;25.792969;24.537067;
3831924330620.000000;24.325965;23.238357;
3831986465660.000000;36.165996;23.115956;
3832050465660.000000;43.179850;24.620866;
3832112466300.000000;43.635257;26.181679;
3832174465916.000000;38.534603;24.361589;
3832237468284.000000;43.141070;21.386265;
3832299465596.000000;41.595004;22.109021;
3832360467068.000000;34.004009;24.590270;
3832424496252.000000;33.117058;20.701646;
3832488505212.000000;36.963113;20.669570;
3832551497084.000000;37.817045;27.358033;
3832614203772.000000;35.221230;28.943196;
3832677135228.000000;28.723259;26.421047;
3832709107580.000000;30.914067;24.504958;
3832786135420.000000;42.758951;25.494108;
3832849375100.000000;32.071527;27.044338;
3832943557244.000000;29.049219;26.249183;
3832975557244.000000;36.246930;25.269908;
3833038554492.000000;43.709838;26.047327;
3833100554108.000000;48.596091;26.840922;
3833194555004.000000;43.998941;24.190092;
3833258558076.000000;36.585737;21.508159;
3833289554812.000000;29.491039;23.845987;
3833350554492.000000;29.181267;26.767640;
3833412555388.000000;41.200622;25.814790;
3833475555964.000000;49.276010;26.878727;
3833538555004.000000;39.275657;26.700940;
3833601554812.000000;26.998754;25.493508;
3833664363388.000000;16.314867;22.963192;
3833727275900.000000;21.551896;21.125098;
3833788283260.000000;25.384684;25.801532;
3833849226620.000000;18.880348;27.546518;
3833911723132.000000;16.647420;23.761785;
3833973139580.000000;13.180209;26.989763;
3834034671996.000000;15.336009;28.670639;
3834096414332.000000;22.587485;22.595193;
3834157594492.000000;23.243487;22.489163;
3834219040124.000000;25.741597;24.670741;
3834313862268.000000;31.766058;24.387536;
3834344865404.000000;28.130397;25.849277;
3834408113788.000000;21.097438;26.916112;
3834501569916.000000;26.115930;24.779403;
3834563617660.000000;35.490686;23.594882;
3834594955388.000000;30.610356;24.431099;
3834656949372.000000;17.773907;23.074480;
3834719343228.000000;17.339501;21.740732;
3834781249148.000000;22.673660;20.701824;
3834843417980.000000;15.316124;24.567169;
3834904319868.000000;13.637452;27.417578;
3834966631804.000000;16.437681;24.435146;
3835028232828.000000;18.370729;26.202847;
3835091033980.000000;18.028009;27.204004;
3835153493116.000000;17.385656;24.419785;
3835214760572.000000;19.196776;24.715635;
3835277225596.000000;22.056084;25.378705;
3835338550396.000000;32.783954;25.046008;
3835401181820.000000;37.527181;24.254594;
3835465366908.000000;33.057471;25.111011;
3835526455420.000000;33.436638;26.545812;
3835587838844.000000;35.556425;25.711350;
3835651838588.000000;31.905103;22.756230;
3835714863484.000000;21.082754;21.364182;
3835778126972.000000;11.504284;21.119301;
3835838695292.000000;8.501848;19.668661;
3835900885372.000000;6.151063;20.338510;
3835963524220.000000;9.930782;20.113831;
3836024424572.000000;20.885741;18.689818;
3836119516796.000000;27.998969;17.649824;
3836151519612.000000;25.469571;17.088665;
3836245725564.000000;26.563388;19.995866;
3836276720764.000000;26.993623;20.917109;
3836338803324.000000;14.986744;18.060975;
3836401051772.000000;11.796468;18.769493;
3836463247996.000000;17.143566;19.433018;
3836525094524.000000;17.124012;18.335111;
3836602869884.000000;19.630721;18.634312;
3836665899132.000000;30.899664;19.205739;
3836729930108.000000;37.069835;20.291958;
3836791928956.000000;24.770469;20.638169;
3836852767868.000000;14.992363;19.833468;
3836915278716.000000;15.518141;20.374375;
3836978442620.000000;12.948508;19.774832;
3837040764028.000000;20.220265;18.332099;
3837102438780.000000;22.733134;18.874491;
3837164114300.000000;12.699095;19.226844;
3837225397884.000000;10.126544;18.658988;
3837287571580.000000;26.510195;18.596431;
3837348576892.000000;36.611873;18.668935;
3837411535996.000000;21.870963;18.597786;
3837473861500.000000;14.993270;17.452545;
3837535618172.000000;20.422346;19.002015;
3837597380220.000000;16.224363;20.421159;
